sr_no,full_name,gender,phone_numbers,state,gre_score,toefl_score,university_ranking_range,sop_score,lor_score,cgpa,not_a_first_gen_applicant,research_years,interest_in_sports,plan_fa,admitted_or_not
113,Alec Saxon,M,212-714-8030,New York,317,103,2,2.5,2,8.15,1,0,football,0,1
114,Giustina Rudyard,F,203-439-7573,Connecticut,307,105,2,2.5,3,7.65,0,0,hockey,1,1
115,Meg Meachen,F,202-263-3903,District of Columbia,316,105,2,2.5,2.5,8.2,0,1,football,1,0
116,Renaud Deinert,M,918-777-4977,Oklahoma,299,100,3,2,2,8.02,0,0,none,0,1
117,Timofei Stodd,M,801-717-4160,Utah,331,116,5,5,5,9.38,1,1,football,0,1
118,Samson Karpman,M,203-615-6786,Connecticut,335,118,5,4.5,3.5,9.44,0,1,none,0,1
119,Avrom Rawcliffe,M,323-415-5580,California,307,101,3,4,3,8.2,1,0,none,1,0
120,Hewet Facher,M,979-864-7677,Texas,321,109,3,3.5,3.5,8.8,0,1,basketball,1,1
121,Merilee Keaton,F,805-351-8944,California,296,97,2,1.5,2,7.8,0,0,basketball,1,0
122,Seymour Parsall,M,314-325-7198,Missouri,306,106,2,2,2.5,8.14,0,0,none,1,1
123,Karlee Gemnett,F,304-948-3883,West Virginia,324,100,3,4,5,8.64,1,1,football,1,1
124,Claudette McKea,F,801-103-6857,Utah,328,108,4,4.5,4,9.18,1,1,football,1,1
125,Carolin Kohn,F,301-337-2923,Maryland,304,97,2,1.5,2,7.64,1,0,none,1,0
126,Collete Smallacombe,F,206-478-9370,Washington,332,116,5,5,5,9.28,1,1,none,0,1
127,Melli McAneny,F,909-222-6667,California,326,108,3,3,3.5,8.89,1,0,football,1,1
128,Karalynn Blockley,F,213-280-5118,California,308,110,4,3.5,3,8.6,0,0,none,0,1
129,Farlie Currin,M,203-893-4394,Connecticut,327,108,5,5,3.5,9.13,0,1,football,1,1
130,Helen-elizabeth Hillin,F,515-491-2686,Iowa,317,107,3,4,3,8.7,1,0,football,1,1
131,Crosby Capon,M,405-339-5954,Oklahoma,299,102,3,4,3.5,8.62,1,0,football,0,1
132,Suzy Dagless,F,260-859-1033,Indiana,300,100,3,2,3,8.66,1,1,basketball,0,1
133,Raddy Plott,M,915-527-0892,Texas,309,108,3,2.5,3,8.12,1,0,none,1,1
134,Keenan Vankeev,M,617-615-5520,Massachusetts,332,118,5,5,5,9.64,0,1,none,1,1
135,Theda Hearl,F,612-541-7196,Minnesota,321,109,4,4,4,8.68,1,1,none,1,1
136,Delphinia Chesson,F,202-476-6387,District of Columbia,310,102,3,3.5,4,8.02,0,1,none,0,1
137,Andriana Gladhill,F,734-476-6493,Michigan,314,104,4,5,5,9.02,0,0,football,0,1
138,North Gallgher,M,313-245-9484,Michigan,305,102,2,2,2.5,8.18,0,0,basketball,0,1
139,Artemas Davis,M,334-460-0583,Alabama,314,105,3,3.5,2.5,8.3,1,0,basketball,1,1
140,Karim Mayberry,M,830-882-7117,Texas,313,107,3,4,4.5,8.69,0,0,football,0,1
141,Lamond Metheringham,M,727-585-3269,Florida,294,95,1,1.5,1.5,7.64,0,0,none,1,0
142,Ewart Stogill,M,928-957-8884,Arizona,324,111,3,2.5,1.5,8.79,1,1,hockey,0,1
143,Cacilia Ornells,F,402-189-0917,Nebraska,308,104,2,2.5,3,8.07,0,0,none,1,1
144,Kale Bruhke,M,901-861-3954,Tennessee,319,112,3,2.5,2,8.71,1,1,none,0,1
145,Ken Gait,M,404-779-3324,Georgia,305,103,2,2.5,3.5,8.13,1,0,hockey,0,1
146,Melinda Keane,F,225-689-4480,Louisiana,317,106,2,2,3.5,8.12,1,0,basketball,1,1
147,Ivan Cumbridge,M,213-521-0913,California,300,102,2,1.5,2,7.87,0,0,none,0,1
148,Othilie Vannuccini,F,202-644-4286,District of Columbia,300,100,3,3,3.5,8.26,1,0,hockey,1,1
149,Jeanelle Dobbie,F,801-107-5531,Utah,312,108,3,3.5,3,8.53,0,0,football,0,1
150,Raymund Briscoe,M,816-262-0402,Missouri,327,113,4,4.5,4.5,9.11,0,1,none,0,1
151,Brunhilda Bowser,F,225-904-3921,Louisiana,323,107,3,3.5,3.5,8.55,1,1,hockey,1,1
152,Kesley Madle,F,339-277-5562,Massachusetts,300,102,3,3.5,2.5,8.17,0,0,hockey,1,1
153,Janette Riglesford,F,412-382-6697,Pennsylvania,308,103,2,3,3.5,8.49,1,0,none,1,1
154,Jody Farn,M,704-757-0519,North Carolina,326,112,3,3.5,3,9.05,1,1,football,0,1
155,Madge MacCallister,F,719-528-1663,Colorado,325,110,2,3,2.5,8.76,0,1,hockey,0,1
156,Lacey Jerome,F,717-990-6371,Pennsylvania,322,104,3,3.5,4,8.84,0,1,none,1,1
157,Lowell Dutton,M,915-531-1976,Texas,324,110,4,3,3.5,8.97,0,1,football,1,1
158,Hendrika Sandell,F,702-644-5340,Nevada,298,98,2,4,3,8.03,0,0,hockey,0,0
159,Thorn Kasher,M,915-258-3605,Texas,330,116,5,5,4.5,9.36,1,1,none,0,1
160,Gaye Mucci,F,832-259-4430,Texas,315,110,2,3.5,3,8.46,1,1,hockey,0,1
161,Tiffi Espadate,F,415-146-4171,California,319,108,2,2.5,3,8.76,0,0,basketball,1,1
162,Fidole Carhart,M,315-406-0829,New York,335,115,4,4.5,4.5,9.68,0,1,hockey,1,1
163,Hastie Cuddehay,M,937-640-2429,Ohio,307,101,3,4,3,8.2,1,0,football,0,0
164,Ruthann McGraith,F,571-527-8297,Virginia,312,105,2,2.5,3,8.12,1,0,hockey,1,1
165,Vincents Rowland,M,202-171-9474,District of Columbia,315,107,2,4,3,8.5,1,1,hockey,0,1
166,Park Culver,M,617-927-7299,Massachusetts,317,107,3,3.5,3,8.68,1,1,hockey,0,1
167,Elie Excell,F,407-201-7453,Florida,323,112,5,4,4.5,8.78,0,0,football,1,1
168,Cassandry MacBain,F,619-717-2327,California,322,110,4,4,5,9.13,1,1,football,1,1
169,Garnet Pally,F,571-908-4240,Virginia,301,97,2,3,3,7.88,0,1,none,0,0
170,Verene O'Lunney,F,757-755-9291,Virginia,314,103,2,2,3,8.21,0,0,basketball,0,1
171,Artie Pomfrey,M,915-957-3345,Texas,295,93,1,2,2,7.2,1,0,football,0,0
172,Hetty Garbett,F,212-575-9640,New York,323,113,4,4,4.5,9.23,1,1,basketball,1,1
173,Wilmette Adacot,F,510-616-2331,California,326,110,3,3.5,3.5,8.76,0,1,hockey,1,1
174,Homer Hibling,M,408-679-2009,California,321,109,4,4,4,9.13,0,1,football,1,1
175,Nessie Elder,F,915-420-1132,Texas,299,100,2,3,3.5,7.88,1,0,none,1,1
176,Milissent Oleszkiewicz,F,202-969-3693,District of Columbia,320,110,5,5,5,9.2,0,1,football,0,1
177,Evvie Fernandez,F,303-363-3878,Colorado,303,102,3,3.5,3,8.5,1,0,basketball,1,1
178,Rollie Gammons,M,713-780-9924,Texas,310,106,4,1.5,2.5,8.36,0,0,none,1,1
179,Elisa Spenclay,F,804-289-5695,Virginia,321,111,4,4,4,8.97,1,1,hockey,0,1
180,Alecia Northcott,F,260-802-7367,Indiana,322,110,3,3,3.5,8,1,0,football,1,1
181,Zacherie Jewers,M,414-590-7428,Wisconsin,300,104,3,3.5,3,8.16,1,0,hockey,1,1
182,Dorrie Aseef,F,808-301-4243,Hawaii,322,105,2,3,3,8.45,1,1,football,1,1
183,Enrico Wandrack,M,901-681-5964,Tennessee,307,108,2,4,3.5,7.7,0,0,football,0,0
184,Norton Tremmil,M,248-423-3022,Michigan,319,106,3,3.5,2.5,8.33,0,1,basketball,1,1
185,Eveline MacGowan,F,202-349-4319,District of Columbia,298,101,2,1.5,2,7.86,1,0,basketball,0,1
186,Haily Yakunkin,M,732-149-6354,New Jersey,311,107,4,4.5,4.5,9,0,1,none,1,1
187,Nevile Leftridge,M,407-442-6083,Florida,322,109,5,4.5,3.5,8.8,1,0,basketball,1,1
188,Gianina Gill,F,360-743-0578,Washington,320,104,3,3,2.5,8.57,0,1,basketball,1,1
189,Zacharias Hook,M,202-465-8675,District of Columbia,312,105,3,2,3,8.02,1,1,none,0,0
190,Dillon Starling,M,334-625-0992,Alabama,327,111,4,3,4,8.4,1,1,none,1,1
191,Bay MacDavitt,M,612-417-5275,Minnesota,320,110,5,5,4.5,9.22,1,1,football,0,1
192,Berty Flear,M,740-138-5843,Ohio,333,117,4,5,4,9.66,0,1,football,0,1
193,Lebbie Roscoe,F,816-723-4155,Missouri,303,98,1,2,2.5,7.65,1,0,none,1,1
194,Anjanette Hinder,F,417-789-1303,Missouri,302,99,2,1,2,7.97,0,0,none,0,1
195,Myrle Kindon,F,202-718-4068,District of Columbia,307,102,3,3,3,8.27,0,0,hockey,0,1
196,Evania Narraway,F,831-350-1781,California,324,112,4,4,3.5,8.77,1,1,basketball,1,1
197,Kass Obee,F,915-478-2513,Texas,323,108,3,3.5,3,8.6,0,0,football,1,0
198,Schuyler Devons,M,646-835-7013,New York,318,110,3,4,3,8.8,0,0,basketball,0,1
199,Latrena Symson,F,540-429-0086,Virginia,317,106,3,4,3.5,8.5,1,1,basketball,0,1
200,Jesselyn Rubinfeld,F,415-945-7456,California,306,110,2,3.5,4,8.45,1,0,none,1,1
201,Chucho Cometti,M,678-677-7819,Georgia,316,104,3,3,3.5,8,0,1,none,1,1
202,Clim Strathearn,M,626-919-8908,California,336,119,4,4.5,4,9.62,0,1,none,0,1
203,Fraser Lumsden,M,860-534-5395,Connecticut,296,99,2,2.5,2.5,8.03,1,0,none,1,1
204,Udall Dobbson,M,520-619-4944,Arizona,322,107,3,3.5,3.5,8.46,0,1,none,1,1
205,Reinald Vlasenkov,M,770-988-8840,Georgia,339,114,5,4,4.5,9.76,0,1,none,0,1
206,Enrichetta Mille,F,518-668-2242,New York,301,104,2,3.5,3.5,7.89,1,1,basketball,1,1
207,Joelly Lummasana,F,518-366-8013,New York,323,110,3,4,3.5,9.1,0,1,hockey,0,1
208,Nerty Preble,F,305-348-2153,Florida,300,99,1,3,2,6.8,1,1,basketball,0,0
209,Emmalynne Wardroper,F,203-134-5763,Connecticut,316,101,2,2.5,2,8.32,0,1,hockey,1,1
210,Rozalin Arr,F,910-712-0586,North Carolina,327,112,3,3,3,8.72,1,1,football,0,1
211,Anastasia Wickstead,F,320-258-7059,Minnesota,326,111,5,4.5,4,9.23,1,1,basketball,1,1
212,Marthe Chmarny,F,808-148-7815,Hawaii,305,108,5,3,3,8.48,1,0,hockey,1,1
213,Panchito Powner,M,512-933-2715,Texas,309,100,2,3,3,8.1,1,0,none,0,0
214,Neala Szymoni,F,623-970-7770,Arizona,323,110,5,4,5,8.98,0,1,none,1,1
215,Maighdiln Hudless,F,202-954-6818,District of Columbia,334,117,5,4,4.5,9.07,1,1,basketball,1,1
216,Gavrielle Ricca,F,808-590-7192,Hawaii,299,94,1,1,1,7.34,1,0,football,0,0
217,Reynold O'Halleghane,M,202-987-5783,District of Columbia,298,99,2,4,2,7.6,0,0,football,0,0
218,Jerrine Player,F,734-946-2876,Michigan,320,108,3,3.5,4,8.44,0,1,football,0,1
219,Blinnie Lambourn,F,231-308-4682,Michigan,312,107,3,3,2,7.9,1,1,none,0,1
220,Frieda Vlasenkov,F,518-141-1985,New York,301,97,2,3,3,7.88,0,1,football,1,0
221,Winonah Brodnecke,F,813-437-1245,Florida,308,106,3,3,3,8.24,0,0,none,1,1
222,Roberta Martina,F,202-380-9039,District of Columbia,303,105,5,5,4.5,8.65,0,0,none,0,1
223,Vernon Huws,M,937-189-7365,Ohio,304,100,4,1.5,2.5,7.84,0,0,football,0,0
224,Tressa Maciak,F,718-828-8406,New York,322,110,3,4,5,8.64,1,1,basketball,0,1
225,Jase Anthoine,M,901-118-2715,Tennessee,324,107,5,3.5,4,8.66,0,1,football,1,1
226,Darda Wesgate,F,714-846-2828,California,324,110,3,3.5,4,8.87,1,1,hockey,1,1
227,Daria Monni,F,202-876-5970,District of Columbia,310,107,3,3.5,3.5,8.67,0,0,none,0,1
228,Chalmers Lamar,M,401-314-9693,Rhode Island,338,117,4,3.5,4.5,9.46,1,1,football,1,1
229,Ulrika Rolance,F,901-781-5747,Tennessee,298,98,2,1.5,2.5,7.5,0,1,football,0,0
230,Bevan Waryk,M,832-202-3685,Texas,339,116,4,4,3.5,9.8,1,1,hockey,1,1
231,Annmarie Charke,F,619-755-4744,California,326,112,3,3.5,3,9.1,1,1,hockey,1,1
232,Arlyne Seres,F,202-603-9072,District of Columbia,298,99,1,1.5,3,7.46,0,0,none,0,1
233,Rosalia Rathe,F,719-454-6063,Colorado,321,111,5,5,5,9.45,0,1,football,1,1
234,Thorvald D'Elia,M,210-398-7947,Texas,320,104,3,3.5,4.5,8.34,1,1,hockey,0,1
235,Barty Gordge,M,216-928-2908,Ohio,316,99,2,2.5,3,9,0,0,basketball,1,1
236,Dehlia Boother,F,208-544-6955,Idaho,301,100,3,3.5,3,8.04,0,0,football,0,1
237,Sharline Bridgen,F,806-789-5271,Texas,327,113,3,3.5,3,8.66,0,1,football,1,1
238,Buckie Arr,M,210-352-6447,Texas,322,114,5,4.5,4,8.94,0,1,football,0,1
239,Madella Malimoe,F,401-576-1970,Rhode Island,308,108,3,3.5,3.5,8.22,0,0,football,1,1
240,Johnnie Everley,M,512-105-2218,Texas,299,97,3,5,3.5,7.66,1,0,basketball,1,0
241,Saundra Pidgen,F,347-791-6176,New York,331,120,3,4,4,8.96,0,1,football,1,1
242,Milka Flippini,F,804-119-2643,Virginia,333,113,5,4,4,9.28,1,1,none,1,1
243,Pandora Lissenden,F,910-988-4000,North Carolina,337,118,4,4.5,4.5,9.65,1,1,basketball,0,1
244,Morna Ferrier,F,937-191-4702,Ohio,298,99,2,4,2,7.6,0,0,football,0,0
245,Scottie Barsam,M,515-856-6852,Iowa,323,113,3,4,4,8.88,0,1,hockey,0,1
246,Micaela Cholwell,F,518-915-2438,New York,324,110,4,4.5,4,9.15,0,1,hockey,1,1
247,Lefty Carlisso,M,228-357-2173,Mississippi,329,111,4,4.5,4,9.23,1,1,none,0,1
248,Sheelah Driutti,F,484-103-2832,Pennsylvania,327,114,3,3,3,9.02,0,0,none,1,1
249,Fabiano Drivers,M,573-964-0281,Missouri,316,102,3,2,3,7.4,0,0,hockey,1,1
250,Dacy MacCallum,F,816-593-0841,Missouri,312,105,2,2,2.5,8.45,0,0,hockey,1,1
251,Valma Chable,F,630-307-8625,Illinois,332,119,4,5,4.5,9.24,0,1,none,0,1
252,Bartram Slocom,M,914-314-8207,New York,298,92,1,2,2,7.88,1,0,basketball,1,1
253,Malchy Roget,M,303-949-3245,Colorado,308,101,2,3,4,7.9,1,0,football,0,1
254,Demetris Drayton,F,626-469-0891,California,301,107,3,3.5,3.5,8.34,1,1,basketball,0,1
255,Calhoun Leatherbarrow,M,850-277-8177,Florida,338,118,4,3,4.5,9.4,0,1,football,1,1
256,Irvin Buer,M,212-568-8154,New York,323,113,3,4,3,9.32,1,1,hockey,0,1
257,Audy McGorley,F,702-237-9310,Nevada,334,116,4,4,3.5,9.54,1,1,football,1,1
258,Henry Lemonnier,M,936-253-7817,Texas,314,107,3,3,3.5,8.17,1,1,none,1,1
259,Sharai Grafham,F,786-435-5373,Florida,331,119,4,5,4.5,9.34,1,1,basketball,1,1
260,Kelly Demogeot,F,404-117-4027,Georgia,321,112,5,5,5,9.06,1,1,hockey,0,1
261,Melonie Dashper,F,615-569-5107,Tennessee,305,107,2,2.5,2.5,8.42,0,0,football,1,1
262,Myrta Playfoot,F,314-246-8197,Missouri,323,108,3,3.5,3,8.6,1,0,hockey,1,0
263,Philipa Garrett,F,402-941-9917,Nebraska,299,100,3,2,3,7.42,1,0,football,0,0
264,Gauthier Milmo,M,651-321-4888,Minnesota,317,105,3,3.5,3,8.56,0,0,football,1,1
265,Dyana Ohm,F,601-501-3634,Mississippi,311,104,2,2,2,8.3,1,0,football,0,0
266,Ginnifer Bathowe,F,785-699-5647,Kansas,336,112,5,5,5,9.76,0,1,hockey,1,1
267,Nola Padbery,F,323-897-1531,California,339,119,5,4.5,4,9.7,1,0,none,0,1
